Plage	Divin	Science
1500-1509	1550	65
1510-1519	2626	101
1520-1529	3218	107
1530-1539	1635	500
1540-1549	1800	125
1550-1559	2227	97
1560-1569	6134	76
1570-1579	1628	27
1580-1589	2133	72
1590-1599	1646	456
1600-1609	1028	177
1610-1619	1745	119
1620-1629	2758	78
1630-1639	1553	102
1640-1649	1754	75
1650-1659	1856	90
1660-1669	2188	228
1670-1679	1929	221
1680-1689	2008	62
1690-1699	1871	173
1700-1709	3696	163
1710-1719	1211	72
1720-1729	2029	122
1730-1739	614	136
1740-1749	786	99
1750-1759	585	161
1760-1769	966	96
1770-1779	1136	132
1780-1789	933	118
1790-1799	1011	216
1800-1809	700	218
1810-1819	691	174
1820-1829	778	194
1830-1839	1184	167
1840-1849	1055	150
1850-1859	891	185
1860-1869	977	140
1870-1879	772	248
1880-1889	687	131
1890-1899	671	324
1900-1909	721	277
1910-1919	784	166
1920-1929	1203	152
1930-1939	683	218
1940-1949	626	177
1950-1959	503	222
1960-1969	320	295
1970-1979	404	92
1980-1989	329	76
1990-1999	371	120
2000-2009	274	73
2010-2019	183	83
