   Year	♂	♀
1806	39.97	44.07
1807	39.54	43.75
1808	38.17	45.27
1809	37.82	45.82
1810	42.81	46.9
1811	41.4	45.47
1812	29.05	46.29
1813	28.56	45.88
1814	29.32	43.88
1815	41.64	45.98
1816	46.96	47.88
1817	45.67	46.52
1818	45.57	45.48
1819	44.75	44.67
1820	46.17	46.46
1821	47.01	46.92
1822	46.11	46.32
1823	47.35	47.88
1824	47.01	47.15
1825	46.16	46
1826	44.97	44.97
1827	46.53	46.72
1828	44.81	44.9
1829	46.34	46.69
1830	46.48	46.69
1831	46.03	46.52
1832	42.17	42.38
1833	45.7	45.9
1834	42.81	42.93
1835	46	46.78
1836	48.51	48.92
1837	45.79	45.9
1838	45.81	46.29
1839	47.3	47.58
1840	46.18	46.81
1841	45.91	47.28
1842	46.05	47.04
1843	46.78	47.26
1844	48.58	48.81
1845	49.28	49.61
1846	47.04	47.33
1847	46.25	46.87
1848	46.37	47.02
1849	41.95	42.59
1850	49.18	49.55
1851	48.28	48.36
1852	47.83	47.85
1853	48.49	48.52
1854	42	42.82
1855	42.15	45.22
1856	46.04	47.34
1857	47.12	46.95
1858	47.35	46.53
1859	43.52	43.47
1860	49.53	49.41
1861	48.16	47.79
1862	49.59	49.47
1863	49.44	49.29
1864	49.36	49.44
1865	47.46	47.8
1866	47.9	48.42
1867	49.33	49.79
1868	47.87	48.35
1869	48.29	49.01
1870	42.25	45.32
1871	33.49	39.01
1872	49.44	50.37
1873	48.74	49.63
1874	50.34	51.29
1875	49.13	49.96
1876	49.57	50.91
1877	50.72	51.49
1878	50.32	51.07
1879	50.49	51.4
1880	49.74	50.63
1881	49.94	51.11
1882	49.68	50.96
1883	49.94	51.17
1884	49.6	51.04
1885	49.97	51.53
1886	49.51	51
1887	50.01	51.42
1888	50.56	52.33
1889	51.85	53.52
1890	49.81	51.44
1891	50.23	51.85
1892	51.02	52.58
1893	50.76	52.55
1894	51.88	53.81
1895	51.83	53.94
1896	53.21	55.2
1897	54.29	56.03
1898	53.22	54.97
1899	52.44	54.58
1900	51.72	54.13
1901	53.05	55.5
1902	53.59	56.01
1903	54.22	56.41
1904	54.36	56.52
1905	53.91	56.43
1906	53.57	56.24
1907	53.29	56.11
1908	54.44	57.36
1909	54.42	57.35
1910	55.54	58.43
1911	54.44	57.31
1912	55.43	58.73
1913	55.52	58.71
1914	32.74	58.37
1915	29.97	57.41
1916	34.78	58.38
1917	40.64	58.09
1918	33.01	49
1919	50.6	56.56
1920	56.49	59.24
1921	57.16	60.32
1922	57.71	60.64
1923	58.05	61.22
1924	57.86	61.25
1925	57.04	60.71
1926	57.2	60.64
1927	58.34	61.59
1928	58.5	61.82
1929	57.24	60.87
1930	58.79	63.01
1931	58.71	62.57
1932	59.13	63.19
1933	59.25	63.54
1934	59.47	64.35
1935	59.22	64.12
1936	59.67	64.71
1937	59.85	65.1
1938	59.58	64.99
1939	60.17	65.48
1940	46.31	63
1941	58.05	64.8
1942	57.55	64.88
1943	52.74	61.55
1944	44.96	56.71
1945	57.51	64.1
1946	64.47	68.86
1947	65.32	70.04
1948	65.92	71.21
1949	65.53	70.18
1950	66.3	71.4
1951	65.84	70.97
1952	66.77	72.08
1953	66.39	71.75
1954	67.12	72.77
1955	67.12	72.96
1956	66.88	72.92
1957	67.04	73.38
1958	68.25	74.25
1959	68.12	74.25
1960	68.12	74.34
1961	68.47	75.05
1962	67.97	74.51
1963	67.78	74.46
1964	68.5	75.35
1965	68.13	75.15
1966	68.52	75.6
1967	68.38	75.56
1968	68.32	75.58
1969	67.96	75.38
1970	68.79	76.05
1971	68.66	76.05
1972	68.74	76.29
1973	68.87	76.35
1974	69.1	76.74
1975	69.08	76.79
1976	69.17	77.04
1977	69.67	77.62
1978	69.69	77.68
1979	69.89	77.99
1980	70.02	78.09
1981	70.19	78.14
1982	70.5	78.53
1983	70.46	78.42
1984	70.84	78.95
1985	70.94	79.01
1986	71.18	79.26
1987	71.72	79.82
1988	72.01	80.04
1989	72.12	80.2
1990	72.37	80.47
1991	72.54	80.67
1992	72.78	80.91
1993	72.86	80.9
1994	73.23	81.31
1995	73.34	81.27
1996	73.57	81.39
1997	74.01	81.62
